Município;Sem instrução/1º ciclo fundamental incompleto;1º ciclo fundamental completo/2º ciclo incompleto;2º ciclo fundamental completo ou mais;Não determinada;Total
 Adamantina;77;214;3407;134;3832
 Adolfo;25;51;296;31;403
Aguaí;333;627;2772;331;4063
 Águas da Prata;24;64;721;31;840
 Águas de Lindóia;68;199;1535;87;1889
 Águas de Santa Bárbara;23;48;467;27;565
Águas de São Pedro;-;6;192;7;205
 Agudos;209;381;3359;157;4106
 Alambari;31;64;492;17;604
 Alfredo Marcondes;6;24;361;14;405
 Altair;81;68;325;53;527
 Altinópolis;36;217;1465;81;1799
Alto Alegre;33;51;355;48;487
350115 Alumínio;52;143;1769;80;2044
350120 Álvares Florence;9;8;323;18;358
350130 Álvares Machado;56;159;2473;111;2799
350140 Álvaro de Carvalho;13;69;299;29;410
350150 Alvinlândia;14;45;264;16;339
350160 Americana;932;1271;21292;853;24348
350170 Américo Brasiliense;152;398;3675;400;4625
350180 Américo de Campos;26;33;497;17;573
350190 Amparo;312;723;6538;360;7933
350200 Analândia;19;39;391;51;500
350210 Andradina;256;428;4964;268;5916
350220 Angatuba;130;242;2215;47;2634
350230 Anhembi;29;69;433;21;552
350240 Anhumas;25;29;355;18;427
350250 Aparecida;216;496;3512;205;4429
350260 Aparecida d'Oeste;15;23;388;18;444
350270 Apiaí;184;308;2211;89;2792
350275 Araçariguama;141;381;1601;221;2344
350280 Araçatuba;876;1455;16708;921;19960
350290 Araçoiaba da Serra;132;206;2666;150;3154
350300 Aramina;23;75;530;27;655
350310 Arandu;56;72;514;81;723
350315 Arapeí;9;55;199;11;274
350320 Araraquara;466;1072;22401;742;24681
350330 Araras;439;1020;12232;666;14357
350335 Arco-Íris;8;9;192;-;209
350340 Arealva;25;55;678;40;798
350350 Areias;25;37;309;13;384
350360 Areiópolis;111;225;994;137;1467
350370 Ariranha;44;109;851;42;1046
350380 Artur Nogueira;214;525;4429;313;5481
350390 Arujá;408;737;7427;593;9165
350395 Aspásia;3;3;187;2;195
350400 Assis;249;530;9881;361;11021
350410 Atibaia;1266;1238;10986;1128;14618
350420 Auriflama;30;80;1491;113;1714
350430 Avaí;16;52;429;82;579
350440 Avanhandava;58;202;992;72;1324
350450 Avaré;508;945;7587;637;9677
350460 Bady Bassitt;59;151;1296;73;1579
350470 Balbinos;-;5;139;-;144
350480 Bálsamo;9;30;756;38;833
350490 Bananal;56;103;859;79;1097
350500 Barão de Antonina;8;55;259;6;328
350510 Barbosa;22;105;526;101;754
350520 Bariri;72;491;2585;369;3517
350530 Barra Bonita;89;275;3527;128;4019
350535 Barra do Chapéu;36;60;438;34;568
350540 Barra do Turvo;53;154;451;77;735
350550 Barretos;503;930;11250;677;13360
350560 Barrinha;271;463;2845;337;3916
350570 Barueri;1522;2594;25399;2211;31726
350580 Bastos;61;227;2207;40;2535
350590 Batatais;339;709;5264;356;6668
350600 Bauru;1326;2543;33315;1956;39140
350610 Bebedouro;324;538;7598;366;8826
350620 Bento de Abreu;7;23;259;22;311
350630 Bernardino de Campos;46;121;977;39;1183
350635 Bertioga;420;954;4028;375;5777
350640 Bilac;19;43;697;20;779
350650 Birigui;258;674;10658;578;12168
350660 Biritiba-Mirim;236;489;2700;174;3599
350670 Boa Esperança do Sul;78;281;1173;128;1660
350680 Bocaina;48;149;1025;64;1286
350690 Bofete;46;149;710;72;977
350700 Boituva;314;583;5066;377;6340
350710 Bom Jesus dos Perdões;167;266;1818;158;2409
350715 Bom Sucesso de Itararé;4;44;333;12;393
350720 Borá;6;1;85;11;103
350730 Boracéia;12;54;448;23;537
350740 Borborema;76;109;1357;116;1658
350745 Borebi;11;37;232;8;288
350750 Botucatu;345;1192;12354;880;14771
350760 Bragança Paulista;945;1341;13453;1023;16762
